# 2023-03-03T18:03:03+08:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S08487
# Firmware: 787
# Software: 1.9.0.2
# Sensitivity: 100
# Gain: 340
# Scan Range [ps]: 50.0
# Filter ACF: 1
# Average: 0
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 1.910
# Fit Type: Sech2
# Fit Pulse Duration [ps]: 1.188
# FWHM Valid: 1
# ==========
Delay [ps]	Intensity [arb.u.]	Fit [arb.u.]
27.382162	0.064905	0.064570
27.381848	0.065050	0.064570
27.381428	0.065197	0.064570
27.381094	0.065347	0.064570
27.380717	0.065498	0.064570
27.380168	0.065650	0.064570
27.379774	0.065803	0.064570
27.379250	0.065957	0.064570
27.378681	0.066110	0.064570
27.378154	0.066263	0.064570
27.377540	0.066414	0.064570
27.376992	0.066565	0.064570
27.376445	0.066713	0.064570
27.375813	0.066859	0.064570
27.375248	0.067002	0.064570
27.374685	0.067143	0.064570
27.374038	0.067279	0.064570
27.373436	0.067412	0.064570
27.372809	0.067541	0.064570
27.372115	0.067666	0.064570
27.371442	0.067785	0.064570
27.370749	0.067900	0.064570
27.369972	0.068010	0.064570
27.369151	0.068114	0.064570
27.368350	0.068213	0.064570
27.367634	0.068306	0.064570
27.366851	0.068394	0.064570
27.365962	0.068475	0.064570
27.365118	0.068551	0.064570
27.364298	0.068620	0.064570
27.363481	0.068684	0.064570
27.362642	0.068741	0.064570
27.361738	0.068793	0.064570
27.360725	0.068838	0.064570
27.359690	0.068878	0.064570
27.358698	0.068912	0.064570
27.357661	0.068940	0.064570
27.356754	0.068962	0.064570
27.355761	0.068979	0.064570
27.354700	0.068991	0.064570
27.353549	0.068998	0.064570
27.352527	0.069000	0.064570
27.351416	0.068997	0.064570
27.350302	0.068989	0.064570
27.349187	0.068977	0.064570
27.348072	0.068962	0.064570
27.346934	0.068942	0.064570
27.345816	0.068918	0.064570
27.344589	0.068892	0.064570
27.343251	0.068861	0.064570
27.341996	0.068828	0.064570
27.340586	0.068793	0.064570
27.339263	0.068754	0.064570
27.337897	0.068714	0.064570
27.336489	0.068671	0.064570
27.335212	0.068627	0.064570
27.333935	0.068580	0.064570
27.332551	0.068532	0.064570
27.331169	0.068483	0.064570
27.329700	0.068433	0.064570
27.328295	0.068382	0.064570
27.326782	0.068329	0.064570
27.325377	0.068276	0.064570
27.323882	0.068223	0.064570
27.322386	0.068169	0.064570
27.320844	0.068114	0.064570
27.319411	0.068059	0.064570
27.317850	0.068004	0.064570
27.316268	0.067948	0.064570
27.314686	0.067893	0.064570
27.313039	0.067837	0.064570
27.311415	0.067781	0.064570
27.309790	0.067725	0.064570
27.308099	0.067670	0.064570
27.306430	0.067614	0.064570
27.304676	0.067557	0.064570
27.303074	0.067501	0.064570
27.301367	0.067445	0.064570
27.299595	0.067389	0.064570
27.297867	0.067332	0.064570
27.296031	0.067276	0.064570
27.294306	0.067219	0.064570
27.292472	0.067162	0.064570
