in s,C1 in V
-1.656E-07,-2.41797E-03
-1.654E-07,-2.61328E-03
-1.652E-07,-1.44141E-03
-1.650E-07,-4.64844E-04
-1.648E-07,5.11719E-04
-1.646E-07,7.07031E-04
-1.644E-07,1.21094E-04
-1.642E-07,-7.42188E-05
-1.640E-07,1.87891E-03
-1.638E-07,5.58984E-03
-1.636E-07,1.16445E-02
-1.634E-07,2.47305E-02
-1.632E-07,4.38711E-02
-1.630E-07,6.55508E-02
-1.628E-07,8.13711E-02
-1.626E-07,8.48867E-02
-1.624E-07,8.23477E-02
-1.622E-07,7.51211E-02
-1.620E-07,6.78945E-02
-1.618E-07,6.06680E-02
-1.616E-07,5.38320E-02
-1.614E-07,4.81680E-02
-1.612E-07,4.32852E-02
-1.610E-07,3.91836E-02
-1.608E-07,3.52773E-02
-1.606E-07,3.15664E-02
-1.604E-07,2.70742E-02
-1.602E-07,2.31680E-02
-1.600E-07,2.06289E-02
-1.598E-07,1.78945E-02
-1.596E-07,1.59414E-02
-1.594E-07,1.43789E-02
-1.592E-07,1.28164E-02
-1.590E-07,9.69141E-03
-1.588E-07,7.93359E-03
-1.586E-07,5.98047E-03
-1.584E-07,4.41797E-03
-1.582E-07,1.68359E-03
-1.580E-07,-1.63672E-03
-1.578E-07,-6.32422E-03
-1.576E-07,-1.02305E-02
-1.574E-07,-1.25742E-02
-1.572E-07,-1.33555E-02
-1.570E-07,-1.14023E-02
-1.568E-07,-1.00352E-02
-1.566E-07,-8.08203E-03
-1.564E-07,-7.10547E-03
-1.562E-07,-6.12891E-03
-1.560E-07,-4.37109E-03
-1.558E-07,-3.00391E-03
-1.556E-07,-1.44141E-03
-1.554E-07,-2.69531E-04
-1.552E-07,1.09766E-03
-1.550E-07,2.26953E-03
-1.548E-07,3.44141E-03
-1.546E-07,3.44141E-03
-1.544E-07,3.44141E-03
-1.542E-07,4.02734E-03
-1.540E-07,3.63672E-03
-1.538E-07,4.02734E-03
-1.536E-07,4.22266E-03
-1.534E-07,4.22266E-03
-1.532E-07,3.83203E-03
