Wavelength0,Intensity0,Wavelength1,Intensity1,Wavelength2,Intensity2,Wavelength3,Intensity3,Wavelength4,Intensity4,Wavelength5,Intensity5,Wavelength6,Intensity6,Wavelength7,Intensity7,Wavelength8,Intensity8,Wavelength9,Intensity9,Wavelength10,Intensity10,Wavelength11,Intensity11,Wavelength12,Intensity12,Wavelength13,Intensity13,Wavelength14,Intensity14,Wavelength15,Intensity15,Wavelength16,Intensity16,Wavelength17,Intensity17,Wavelength18,Intensity18,Wavelength19,Intensity19,Wavelength20,Intensity20,Wavelength21,Intensity21,Wavelength22,Intensity22,Wavelength23,Intensity23,Wavelength24,Intensity24,Wavelength25,Intensity25,Wavelength26,Intensity26,Wavelength27,Intensity27,Wavelength28,Intensity28,Wavelength29,Intensity29
1429.5,-81.729,1429.5,-82.817,1429.5,-87.539,1429.5,-93.686,1429.5,-83.87,1429.5,-210.0,1429.5,-83.593,1429.5,-86.256,1429.5,-81.496,1429.5,-87.059,1429.5,-83.013,1429.5,-82.376,1429.5,-88.639,1429.5,-83.789,1429.5,-83.19,1429.5,-80.202,1429.5,-210.0,1429.5,-82.069,1429.5,-83.526,1429.5,-82.76,1429.5,-79.85,1429.5,-86.702,1429.5,-80.993,1429.5,-78.889,1429.5,-80.303,1429.5,-83.957,1429.5,-80.596,1429.5,-82.354,1429.5,-79.865,1429.5,-88.361
1429.65,-84.486,1429.65,-86.21,1429.65,-81.096,1429.65,-85.123,1429.65,-82.333,1429.65,-74.48,1429.65,-83.588,1429.65,-82.64,1429.65,-81.042,1429.65,-84.086,1429.65,-84.915,1429.65,-79.609,1429.65,-81.512,1429.65,-80.625,1429.65,-82.21,1429.65,-210.0,1429.65,-82.747,1429.65,-81.546,1429.65,-81.863,1429.65,-84.882,1429.65,-82.381,1429.65,-82.889,1429.65,-82.592,1429.65,-89.962,1429.65,-87.764,1429.65,-210.0,1429.65,-80.324,1429.65,-80.733,1429.65,-83.755,1429.65,-81.491
1429.8,-81.298,1429.8,-85.385,1429.8,-80.017,1429.8,-82.577,1429.8,-82.005,1429.8,-80.445,1429.8,-83.851,1429.8,-82.715,1429.8,-80.456,1429.8,-83.334,1429.8,-82.661,1429.8,-87.844,1429.8,-80.926,1429.8,-91.918,1429.8,-83.852,1429.8,-79.435,1429.8,-83.645,1429.8,-82.395,1429.8,-78.709,1429.8,-82.182,1429.8,-86.271,1429.8,-82.975,1429.8,-80.862,1429.8,-80.912,1429.8,-82.322,1429.8,-80.079,1429.8,-85.864,1429.8,-82.17,1429.8,-84.833,1429.8,-88.642
1429.95,-82.956,1429.95,-81.321,1429.95,-84.156,1429.95,-85.67,1429.95,-82.156,1429.95,-210.0,1429.95,-82.103,1429.95,-86.781,1429.95,-82.027,1429.95,-83.264,1429.95,-83.208,1429.95,-83.301,1429.95,-86.946,1429.95,-87.148,1429.95,-81.514,1429.95,-90.271,1429.95,-80.836,1429.95,-83.199,1429.95,-91.119,1429.95,-80.598,1429.95,-79.717,1429.95,-80.601,1429.95,-80.848,1429.95,-84.938,1429.95,-89.305,1429.95,-86.021,1429.95,-83.008,1429.95,-84.944,1429.95,-80.686,1429.95,-80.347
1430.1,-89.373,1430.1,-86.975,1430.1,-81.625,1430.1,-85.411,1430.1,-88.329,1430.1,-72.486,1430.1,-81.811,1430.1,-80.017,1430.1,-84.192,1430.1,-85.94,1430.1,-81.83,1430.1,-81.047,1430.1,-81.778,1430.1,-83.357,1430.1,-87.662,1430.1,-88.909,1430.1,-81.125,1430.1,-81.205,1430.1,-78.898,1430.1,-85.233,1430.1,-79.113,1430.1,-79.524,1430.1,-80.107,1430.1,-79.639,1430.1,-79.523,1430.1,-80.586,1430.1,-79.87,1430.1,-79.787,1430.1,-81.384,1430.1,-80.196
1430.25,-81.144,1430.25,-82.827,1430.25,-81.433,1430.25,-91.182,1430.25,-86.085,1430.25,-71.971,1430.25,-82.174,1430.25,-85.107,1430.25,-80.171,1430.25,-84.283,1430.25,-83.1,1430.25,-82.092,1430.25,-90.755,1430.25,-84.358,1430.25,-82.665,1430.25,-80.426,1430.25,-82.08,1430.25,-79.599,1430.25,-85.904,1430.25,-85.059,1430.25,-81.914,1430.25,-86.233,1430.25,-85.346,1430.25,-91.575,1430.25,-79.7,1430.25,-84.024,1430.25,-80.988,1430.25,-84.032,1430.25,-82.684,1430.25,-84.157
1430.4,-81.794,1430.4,-84.513,1430.4,-82.713,1430.4,-85.438,1430.4,-85.522,1430.4,-69.239,1430.4,-83.092,1430.4,-82.389,1430.4,-87.861,1430.4,-82.621,1430.4,-82.545,1430.4,-82.559,1430.4,-88.616,1430.4,-83.434,1430.4,-88.463,1430.4,-86.2,1430.4,-80.583,1430.4,-83.688,1430.4,-80.646,1430.4,-86.847,1430.4,-83.673,1430.4,-80.761,1430.4,-80.235,1430.4,-81.483,1430.4,-90.885,1430.4,-89.498,1430.4,-80.027,1430.4,-81.588,1430.4,-84.04,1430.4,-81.497
1430.55,-81.324,1430.55,-81.119,1430.55,-82.967,1430.55,-82.918,1430.55,-82.227,1430.55,-75.015,1430.55,-81.569,1430.55,-82.198,1430.55,-84.115,1430.55,-83.173,1430.55,-82.017,1430.55,-80.458,1430.55,-89.728,1430.55,-78.55,1430.55,-83.454,1430.55,-88.569,1430.55,-80.56,1430.55,-81.446,1430.55,-81.603,1430.55,-80.787,1430.55,-81.015,1430.55,-81.895,1430.55,-80.63,1430.55,-85.142,1430.55,-82.314,1430.55,-81.258,1430.55,-82.123,1430.55,-81.315,1430.55,-84.637,1430.55,-83.961
1430.7,-90.511,1430.7,-87.234,1430.7,-80.582,1430.7,-82.99,1430.7,-83.576,1430.7,-77.821,1430.7,-80.81,1430.7,-87.6,1430.7,-78.973,1430.7,-82.853,1430.7,-95.755,1430.7,-210.0,1430.7,-88.855,1430.7,-89.088,1430.7,-82.879,1430.7,-81.011,1430.7,-83.826,1430.7,-82.032,1430.7,-81.547,1430.7,-81.352,1430.7,-81.616,1430.7,-80.309,1430.7,-79.262,1430.7,-82.596,1430.7,-82.635,1430.7,-80.551,1430.7,-86.528,1430.7,-81.975,1430.7,-82.386,1430.7,-81.286
1430.85,-82.644,1430.85,-82.774,1430.85,-81.119,1430.85,-90.164,1430.85,-80.838,1430.85,-75.013,1430.85,-81.18,1430.85,-81.969,1430.85,-210.0,1430.85,-80.238,1430.85,-83.782,1430.85,-80.912,1430.85,-81.359,1430.85,-210.0,1430.85,-81.845,1430.85,-86.287,1430.85,-84.261,1430.85,-84.693,1430.85,-85.258,1430.85,-79.127,1430.85,-83.095,1430.85,-81.952,1430.85,-82.859,1430.85,-84.093,1430.85,-81.585,1430.85,-79.689,1430.85,-82.692,1430.85,-86.091,1430.85,-82.031,1430.85,-80.137
